1,el Raval,41.3797,2.1682
2,el Barri Gòtic,41.3819,2.1782
3,la Barceloneta,41.3809,2.1894
4,"Sant Pere, Santa Caterina i la Ribera",41.3868,2.1831
5,el Fort Pienc,41.3981,2.1819
6,la Sagrada Família,41.4036,2.1744
7,la Dreta de l'Eixample,41.3992,2.1699
8,l'Antiga Esquerra de l'Eixample,41.3882,2.1595
9,la Nova Esquerra de l'Eixample,41.3848,2.1528
10,Sant Antoni,41.3773,2.1585
11,el Poble Sec,41.3724,2.1629
12,la Marina del Prat Vermell,41.3525,2.1413
13,la Marina de Port,41.3606,2.1387
14,la Font de la Guatlla,41.3694,2.1444
15,Hostafrancs,41.3752,2.1451
16,la Bordeta,41.3677,2.1364
17,Sants - Badal,41.3754,2.1266
18,Sants,41.3754,2.1353
19,les Corts,41.3835,2.1168
20,la Maternitat i Sant Ramon,41.3793,2.1135
21,Pedralbes,41.3913,2.1112
22,"Vallvidrera, el Tibidabo i les Planes",41.4173,2.091
23,Sarrià,41.4144,2.1056
24,les Tres Torres,41.3978,2.1315
25,Sant Gervasi - la Bonanova,41.4146,2.1339
26,Sant Gervasi - Galvany,41.3989,2.1432
27,el Putxet i el Farró,41.4033,2.1406
28,Vallcarca i els Penitents,41.4152,2.1383
29,el Coll,41.4175,2.1487
30,la Salut,41.4124,2.1536
31,la Vila de Gràcia,41.4012,2.1576
32,el Camp d'en Grassot i Gràcia Nova,41.608,2.2877
33,el Baix Guinardó,41.4121,2.1684
34,Can Baró,41.4172,2.1634
35,el Guinardó,41.419,2.1723
36,la Font d'en Fargues,41.4247,2.1659
37,el Carmel,41.4224,2.1561
38,la Teixonera,41.4226,2.1438
39,Sant Genís dels Agudells,41.4283,2.133
40,Montbau,41.4339,2.1421
41,la Vall d'Hebron,41.4281,2.1422
42,la Clota,41.4293,2.153
43,Horta,41.4349,2.1564
44,Vilapicina i la Torre Llobeta,41.4289,2.1739
45,Porta,41.4345,2.1782
46,el Turó de la Peira,41.4321,2.1708
47,Can Peguera,41.4344,2.1662
48,la Guineueta,41.4401,2.1657
49,Canyelles,41.2829,1.7231
50,les Roquetes,41.4469,2.1713
51,Verdun,41.4426,2.1754
52,la Prosperitat,41.4419,2.1831
53,la Trinitat Nova,41.4518,2.1856
54,Torre Baró,41.4549,2.1752
55,Ciutat Meridiana,41.462,2.1757
56,Vallbona,41.4661,2.1811
57,la Trinitat Vella,41.4517,2.1929
58,Baró de Viver,41.4441,2.1978
59,el Bon Pastor,41.4365,2.1998
60,Sant Andreu,41.4337,2.1858
61,la Sagrera,41.4246,2.1852
62,el Congrés i els Indians,41.4244,2.1806
63,Navas,41.4168,2.188
64,el Camp de l'Arpa del Clot,41.4114,2.1825
65,el Clot,41.4097,2.1892
66,el Parc i la Llacuna del Poblenou,41.3991,2.1905
67,la Vila Olímpica del Poblenou,41.3916,2.1954
68,el Poblenou,41.4034,2.2028
69,Diagonal Mar i el Front Marítim del Poblenou,41.4083,2.2166
70,el Besòs i el Maresme,41.4168,2.2141
71,Provençals del Poblenou,41.41,2.203
72,Sant Martí de Provençals,41.4166,2.1978
73,la Verneda i la Pau,41.4222,2.2049
